Действие,"Количество посетителей (все, с учетом отказников)",Конверсия посетителей из лэндинга,"Количество визитов (все, с учетом отказников)",Конверсия визитов из лэндинга,Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Лэндинг,9558,,11484,,2995,0.2607976314872867,1.488100848256362,00:06:45,6664,0.6972169910023017,9161,0.9584641138313454
Главная: посещение страницы,2651,0.277359280184139,3180,0.2769070010449321,730,0.229559748427673,1.60734693877551,00:07:26,1926,0.7265182949830252,2551,0.9622783855149001
Подборки: посещение раздела,1640,0.171584013391923,1863,0.1622257053291536,657,0.3526570048309179,1.925373134328358,00:12:33,984,0.6,1570,0.9573170731707317
Афиша: посещение раздела,435,0.04551161330822348,463,0.04031696273075584,47,0.101511879049676,1.591346153846154,00:05:06,359,0.825287356321839,401,0.9218390804597701
Афиша: посещение конкретного мероприятия,253,0.02646997279765641,267,0.02324973876698015,38,0.1423220973782771,2.096069868995633,00:12:34,208,0.8221343873517787,241,0.9525691699604744
"Афиша: Клик на красную кнопку ""Купить билет""",43,0.004498849131617493,45,0.003918495297805642,0,0,3.444444444444445,00:18:03,30,0.6976744186046512,30,0.6976744186046512
Маршруты: посещение раздела,305,0.03191044151496129,321,0.02795193312434692,74,0.2305295950155763,2.093117408906882,00:08:47,205,0.6721311475409836,271,0.8885245901639345
Маршруты: посещение конкретного маршрута,94,0.00983469345051266,105,0.009143155694879833,6,0.05714285714285714,3.313131313131313,00:22:25,70,0.7446808510638298,76,0.8085106382978723
Квесты: посещение раздела,13,0.001360117179326219,13,0.001132009752699408,0,0,1.923076923076923,00:14:46,12,0.9230769230769231,12,0.9230769230769231
Квесты: посещение конкретного квеста,4,0.0004184975936388366,4,0.0003483106931382794,0,0,2.75,00:03:03,4,1,4,1
Квиз: начали проходить,21,0.002197112366603892,21,0.001828631138975967,0,0,2.428571428571428,00:25:13,17,0.8095238095238095,17,0.8095238095238095
Квиз: дошли до конца,10,0.001046243984097091,10,0.0008707767328456984,0,0,2.2,00:16:24,8,0.8,8,0.8
Музеи: посещение раздела,67,0.007009834693450513,73,0.006356670149773598,6,0.0821917808219178,7.014925373134329,01:14:49,51,0.7611940298507462,56,0.835820895522388
Музеи: посещение конкретного музея,2911,0.3045616237706633,3388,0.2950191570881226,725,0.2139905548996458,1.496057078482914,00:06:20,2171,0.7457918241154242,2723,0.9354173823428376
Здания: посещение раздела,80,0.008369951872776732,82,0.007140369209334726,0,0,3.036585365853659,00:23:52,66,0.825,66,0.825
Здания: посещение конкретного здания,142,0.0148566645741787,151,0.01314872866597004,0,0,3.728476821192053,00:33:30,114,0.8028169014084507,114,0.8028169014084507
Памятники: посещение раздела,19,0.001987863569784474,21,0.001828631138975967,5,0.2380952380952381,3.375,00:24:17,15,0.7894736842105263,19,1
Памятники: посещение конкретного памятника,11,0.001150868382506801,11,0.0009578544061302681,0,0,4.363636363636363,00:35:54,6,0.5454545454545454,6,0.5454545454545454
Места: посещение раздела,211,0.02207574806444863,265,0.02307558342041101,72,0.2716981132075472,2.782383419689119,00:28:50,141,0.6682464454976303,200,0.9478672985781991
Места: посещение конкретного места,928,0.09709144172421008,1270,0.1105886450714037,241,0.189763779527559,1.626822157434402,00:10:02,684,0.7370689655172413,857,0.9234913793103449
Личности: посещение раздела,2,0.0002092487968194183,2,0.0001741553465691397,0,0,2,00:02:53,2,1,2,1
Личности: посещение конкретной личности,70,0.00732370788867964,71,0.006182514803204459,28,0.3943661971830986,1.581395348837209,00:08:09,35,0.5,63,0.9
История: посещение раздела,2,0.0002092487968194183,2,0.0001741553465691397,0,0,4,00:17:53,2,1,2,1
История: посещение конкретной истории,2,0.0002092487968194183,2,0.0001741553465691397,0,0,2,00:42:13,1,0.5,1,0.5
"Страница ""Приложение УМ"": посещение страницы",604,0.06319313663946433,732,0.06374085684430512,340,0.4644808743169399,1.341836734693878,00:03:28,290,0.4801324503311258,592,0.9801324503311258
