Действие,"Количество посетителей (все, с учетом отказников)",Конверсия посетителей из лэндинга,"Количество визитов (все, с учетом отказников)",Конверсия визитов из лэндинга,Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Лэндинг,9670,,11540,,2954,0.2559792027729636,1.1208944793850455,00:02:17,6985,0.7223371251292657,9320,0.9638055842812823
Кино.Горького: Переход к карте,212,0.021923474663908996,213,0.018457538994800692,2,0.009389671361502348,1.5639810426540284,00:05:10,184,0.8679245283018868,186,0.8773584905660378
Кино.Горького: Нажатие на фото во 2ом разделе,254,0.02626680455015512,256,0.02218370883882149,2,0.0078125,1.4330708661417322,00:05:28,231,0.9094488188976378,233,0.9173228346456693
Кино.Горького: Нажатие на фильтр,933,0.09648397104446743,958,0.0830155979202773,7,0.007306889352818371,1.4858044164037856,00:04:45,853,0.9142550911039657,859,0.9206859592711683
"Кино.Горького: Нажатие ""Узнать подробнее"" в карте",367,0.03795243019648397,373,0.03232235701906413,0,0.0,2.74798927613941,00:06:58,339,0.9237057220708447,339,0.9237057220708447
Кино.Горького: Нажатие на личность,50,0.005170630816959669,51,0.004419410745233969,0,0.0,2.764705882352941,00:08:02,44,0.88,44,0.88
Кино.Горького: Нажатие на карточку проекта,231,0.02388831437435367,232,0.020103986135181974,0,0.0,2.4741379310344827,00:06:02,211,0.9134199134199135,211,0.9134199134199135
Кино.Горького: Нажатие на telegram,1,0.00010341261633919338,1,8.665511265164645e-05,0,0.0,1.0,00:00:27,0,0.0,0,0.0
Кино.Горького: Нажатие на vk,1,0.00010341261633919338,1,8.665511265164645e-05,0,0.0,1.0,00:00:53,1,1.0,1,1.0
Кино.Горького: Подписка со страницы,1,0.00010341261633919338,1,8.665511265164645e-05,0,0.0,2.0,00:08:35,0,0.0,0,0.0
Общее: Пользователь начал проходить квиз,55,0.005687693898655636,55,0.004766031195840554,0,0.0,2.7636363636363637,00:13:13,51,0.9272727272727272,51,0.9272727272727272
Общее: Пользователь прошел квиз до конца,25,0.0025853154084798345,25,0.002166377816291161,0,0.0,2.8,00:20:50,25,1.0,25,1.0
Общее: Страница подборки,34,0.003516028955532575,34,0.0029462738301559792,1,0.029411764705882353,1.4242424242424243,00:09:15,29,0.8529411764705882,30,0.8823529411764706
Общее: Просмотр карты на главной,13,0.001344364012409514,13,0.0011265164644714038,0,0.0,2.3846153846153846,00:12:31,12,0.9230769230769231,12,0.9230769230769231
Общее: Просмотр главной,35,0.0036194415718717684,35,0.0030329289428076256,0,0.0,3.1142857142857143,00:11:25,31,0.8857142857142857,31,0.8857142857142857
