Действие,"Количество посетителей (все, с учетом отказников)",Конверсия посетителей из лэндинга,"Количество визитов (все, с учетом отказников)",Конверсия визитов из лэндинга,Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Лэндинг,10147,,11503,,3336,0.2900113013996349,1.33023141912575,00:00:59,6125,0.6036266876909432,8348,0.8227062185867744
Клик на раздел Популярное,38,0.003744949246082586,38,0.003303486047118143,1,0.02631578947368421,1.783783783783784,00:03:15,19,0.5,20,0.5263157894736842
Клик на раздел Бесплатный вывоз,62,0.006110180348871588,62,0.005389898287403286,3,0.04838709677419355,2.084745762711865,00:04:13,30,0.4838709677419355,32,0.5161290322580645
Клик на раздел Мебель,72,0.007095693308367005,76,0.006606972094236286,0,0,1.75,00:03:20,25,0.3472222222222222,25,0.3472222222222222
Клик на раздел Бытовая техника,85,0.008376860155711048,87,0.007563244371033643,0,0,1.850574712643678,00:03:15,32,0.3764705882352941,32,0.3764705882352941
Клик на раздел Металлические изделия,26,0.002562333694688085,26,0.002260279926975571,0,0,2,00:03:52,7,0.2692307692307692,7,0.2692307692307692
Клик на раздел Макулатура,24,0.002365231102789001,24,0.002086412240285143,0,0,1.958333333333333,00:02:29,6,0.25,6,0.25
Клик в разделе Часто задаваемые вопросы,258,0.02542623435498177,261,0.02268973311310093,0,0,1.559386973180077,00:03:09,93,0.3604651162790697,93,0.3604651162790697
Оформление заказа: шаг 1,62,0.006110180348871588,64,0.005563765974093715,0,0,2.78125,00:09:54,32,0.5161290322580645,32,0.5161290322580645
Оформление заказа: шаг 2,51,0.005026116093426628,51,0.004433626010605929,0,0,2.627450980392157,00:10:05,29,0.5686274509803921,29,0.5686274509803921
Оформление заказа: шаг 3,40,0.00394205183798167,40,0.003477353733808572,0,0,2.8,00:10:34,20,0.5,20,0.5
Просмотр страницы успеха (выполнены успешно все 3 шага),40,0.00394205183798167,40,0.003477353733808572,0,0,2.8,00:10:34,20,0.5,20,0.5
Клик на кнопку Оплатить квитанцию,1,9.855129594954174e-05,1,8.693384334521429e-05,0,0,7,00:19:09,0,0,0,0
"Клик на кнопку ""Войти""",15,0.001478269439243126,15,0.001304007650178214,1,0.06666666666666667,2.071428571428572,00:05:23,8,0.5333333333333333,8,0.5333333333333333
Действие с онлайн чатом,15,0.001478269439243126,16,0.001390941493523429,1,0.0625,1.933333333333333,00:07:42,9,0.6,10,0.6666666666666666
