Действие,"Количество посетителей (все, с учетом отказников)",Конверсия посетителей из лэндинга,"Количество визитов (все, с учетом отказников)",Конверсия визитов из лэндинга,Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Лэндинг,6811,,7896,,1870,0.2368287740628166,1.5521075340192498,00:02:43,912,0.13390104243136103,1339,0.1965937454118338
"Главная: Действие 1",168,0.024665981500513873,173,0.02190982776089159,6,0.03468208092485549,4.7604790419161676,00:10:50,27,0.16071428571428573,27,0.16071428571428573
"Главная: Действие 2",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
"Главная: Действие 3",1357,0.19923652914403173,1423,0.1802178318135765,35,0.024595924104005622,2.5511527377521612,00:05:02,195,0.14369933677229182,207,0.15254237288135594
"Главная: Действие 4",1068,0.15680516811040962,1106,0.1400709219858156,0,0.0,1.5759493670886076,00:04:41,120,0.11235955056179775,120,0.11235955056179775
"Главная, клик на раздел: Раздел 1",237,0.03479665247393922,238,0.030141843971631204,3,0.012605042016806723,1.8468085106382979,00:04:10,26,0.10970464135021098,27,0.11392405063291139
"Главная, клик на раздел: Раздел 2",1576,0.231390397885773,1639,0.20757345491388043,20,0.012202562538133009,1.6207535515750464,00:03:11,187,0.11865482233502538,192,0.1218274111675127
"Главная, клик на раздел: Раздел 3",522,0.07664072823373953,536,0.06788247213779129,6,0.011194029850746268,1.6603773584905661,00:03:17,63,0.1206896551724138,64,0.12260536398467432
"Главная, клик на раздел: Раздел 4",584,0.0857436499779768,598,0.07573454913880445,3,0.005016722408026756,1.6453781512605041,00:03:24,79,0.13527397260273974,79,0.13527397260273974
"Главная, клик на раздел: Раздел 5",488,0.07164880340625458,506,0.06408308004052685,1,0.001976284584980237,2.126732673267327,00:05:24,74,0.15163934426229508,74,0.15163934426229508
"Главная, клик на раздел: Раздел 6",212,0.031126119512553223,213,0.026975683890577508,0,0.0,1.971830985915493,00:04:38,33,0.15566037735849056,33,0.15566037735849056
"Главная, клик на раздел: Раздел 7",242,0.035530759066216416,246,0.03115501519756839,0,0.0,1.7073170731707317,00:03:36,29,0.11983471074380166,29,0.11983471074380166
"Главная, клик на раздел: Другое",274,0.040229041256790485,278,0.03520770010131712,0,0.0,1.8129496402877698,00:04:15,39,0.14233576642335766,39,0.14233576642335766
Оформление заявки: Шаг 1,1477,0.21685508735868447,1553,0.19668186423505574,42,0.02704443013522215,2.671078755790867,00:05:21,214,0.14488828706838186,226,0.15301286391333785
Оформление заявки: Шаг 2,218,0.03200704742328586,221,0.02798885511651469,0,0.0,6.502262443438914,00:18:08,26,0.11926605504587157,26,0.11926605504587157
Оформление заявки: Шаг 3,193,0.02833651446189987,196,0.024822695035460994,0,0.0,7.035714285714286,00:19:51,25,0.12953367875647667,25,0.12953367875647667
Оформление заявки: Шаг 4,150,0.02202319776831596,152,0.019250253292806486,0,0.0,8.013157894736842,00:23:28,22,0.14666666666666667,22,0.14666666666666667
Оформление заявки: Шаг 5,123,0.018059022170019087,123,0.015577507598784195,0,0.0,9.284552845528456,00:27:44,19,0.15447154471544716,19,0.15447154471544716
Оформление заявки: Шаг 6,112,0.01644398766700925,112,0.014184397163120567,0,0.0,9.9375,00:29:41,18,0.16071428571428573,18,0.16071428571428573
Оформление заявки: Страница успеха,102,0.014975774482454853,102,0.012917933130699088,0,0.0,10.53921568627451,00:30:51,18,0.17647058823529413,18,0.17647058823529413
"Оформление заявки: Клик на кнопку ""Оплатить квитанцию""",20,0.0029364263691087945,20,0.0025329280648429585,0,0.0,22.85,00:52:22,4,0.2,4,0.2
