Действие,"Количество посетителей (все, с учетом отказников)",Конверсия посетителей из лэндинга,"Количество визитов (все, с учетом отказников)",Конверсия визитов из лэндинга,Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Лэндинг,8177,,10680,,3840,0.3595505617977528,1.2789473684210526,00:02:00,2739,0.3349639231992173,4517,0.5524030818148465
Главная: просмотр,5832,0.7132200073376544,7517,0.7038389513108614,2590,0.3445523480111747,1.3523442256951492,00:02:14,1887,0.323559670781893,3073,0.526920438957476
"Главная: клик на ""Личный кабинет""",95,0.011617952794423382,100,0.009363295880149813,4,0.04,5.979166666666667,00:09:27,9,0.09473684210526316,9,0.09473684210526316
"Главная: клик на книгу из ""Вам может понравится""",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
"Главная: клик на событие из ""События в библиотеках""",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
"Главная: клик на подборку из ""Литература для внеклассного чтения""",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
"Главная: клик на подборку из ""Подборки на любой вкус""",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
Страница книги: просмотр,212,0.025926378867555337,233,0.021816479400749062,3,0.012875536480686695,3.965217391304348,00:07:28,40,0.18867924528301888,41,0.19339622641509435
"Страница книги: клик на ""Выбрать библиотеку""",39,0.0047694753577106515,40,0.003745318352059925,0,0.0,4.45,00:11:08,7,0.1794871794871795,7,0.1794871794871795
"Страница книги: клик на ""Забронировать"" в выборе библиотеки",15,0.0018344135991194815,16,0.00149812734082397,0,0.0,9.5,00:24:09,2,0.13333333333333333,2,0.13333333333333333
"Страница оформления заказа: клик на ""Забронировать""",14,0.0017121193591781826,15,0.0014044943820224719,0,0.0,13.2,00:29:31,0,0.0,0,0.0
Страница оформления заказа: просмотр информации об успешном бронировании,12,0.0014675308792955852,12,0.0011235955056179776,0,0.0,13.166666666666666,00:31:57,0,0.0,0,0.0
Страница конкретной подборки: просмотр,66,0.008071419836125719,67,0.006273408239700374,0,0.0,5.044776119402985,00:04:58,18,0.2727272727272727,18,0.2727272727272727
Страница каталога подборок: просмотр,39,0.0047694753577106515,40,0.003745318352059925,0,0.0,6.725,00:07:05,12,0.3076923076923077,12,0.3076923076923077
Страница подборок по внеклассному чтению: просмотр,4,0.0004891769597651951,4,0.0003745318352059925,0,0.0,9.0,00:04:02,2,0.5,2,0.5
Страница оформления ЕЧП: просмотр,2514,0.3074477192124251,3179,0.29765917602996256,1241,0.39037433155080214,1.2667698658410733,00:01:40,866,0.3444709626093874,1469,0.5843277645186953
Оформление ЕЧБ. Шаг 1: клик на кнопку Продолжить,15,0.0018344135991194815,15,0.0014044943820224719,0,0.0,12.8,00:18:07,0,0.0,0,0.0
Оформление ЕЧБ. Шаг 2: клик на кнопку Продолжить,21,0.002568179038767274,21,0.001966292134831461,0,0.0,14.238095238095237,00:21:06,1,0.047619047619047616,1,0.047619047619047616
Оформление ЕЧБ. Шаг 3: клик на кнопку Продолжить,10,0.0012229423994129876,10,0.0009363295880149813,0,0.0,17.7,00:26:50,0,0.0,0,0.0
Оформление ЕЧБ. Шаг 3: клик на пнопку Отправить,10,0.0012229423994129876,10,0.0009363295880149813,0,0.0,17.7,00:26:50,0,0.0,0,0.0
Профиль пользователя: просмотр,0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
Страница каталога книг: просмотр,225,0.027516203986792224,265,0.024812734082397005,6,0.022641509433962263,3.8378378378378377,00:07:30,41,0.18222222222222223,41,0.18222222222222223
