Действие,"Количество посетителей (все, с учетом отказников)",Конверсия посетителей из лэндинга,"Количество визитов (все, с учетом отказников)",Конверсия визитов из лэндинга,Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Лэндинг,12502,,14687,,3694,0.2515389997773985,1.818683351468988,00:03:44,5427,0.43418279569892473,7326,0.5860892473118279
Основной блок: Просмотр страницы входа,110,0.88001075268817204301,115,0.07820048972323217,0,0,8.17,00:23:06,54,0.4909,54,0.4909
Основной блок: Успешный вход,64,0.051,68,0.046,0,0.0,10.74,00:28:12,27,0.4219,27,0.4219
Основной блок: Просмотр страницы площадки,50,0.4001075268817204,54,0.3754129257253097,0,0.0,11.6985057471264368,00:27:43,20,0.40023651675327005,20,0.4092331123454578
Основной блок: Клик на площадку,11,0.0011827956989247312,11,0.0008162053869555539,0,0.0,14.909090909090908,00:19:19,6,0.5454545454545454,6,0.5454545454545454
"Основной блок: Клик на кнопку ""Как добраться""",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
"Блок мероприятий: Клик на ""Показать ещё"" в блоке",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
Блок мероприятий: Клик на мероприятие,33,0.0035483870967741938,34,0.002522816650589894,0,0.0,3.7941176470588234,00:06:35,17,0.5151515151515151,17,0.5151515151515151
Блок мероприятий: Просмотр страницы мероприятия,50,0.005376344086021506,52,0.003858425465608073,0,0.0,5.0,00:06:39,26,0.52,26,0.52
Блок отправки email: Клик на кнопку для подписки на рассылку,0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
