Действие,"Количество посетителей (все, с учетом отказников)",Конверсия посетителей из лэндинга,"Количество визитов (все, с учетом отказников)",Конверсия визитов из лэндинга,Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Лэндинг,6822,,10988,,3031,0.27584637786676375,1.0028905366344099,00:01:50,4643,0.6805922017003811,6691,0.9807974201114043
История: посещение раздела,0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
Главная: посещение страницы,6770,0.9923776018762827,10930,0.9947215143793229,3009,0.2752973467520586,1.002777427092539,00:01:50,4610,0.6809453471196455,6639,0.9806499261447563
Подборки: посещение раздела,0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
Афиша: посещение раздела,40,0.005863383172090296,42,0.003822351656352384,15,0.35714285714285715,1.0,00:00:57,25,0.625,37,0.925
Маршруты: посещение раздела,13,0.0019055995309293463,13,0.0011831088460138332,4,0.3076923076923077,1.1111111111111112,00:01:15,9,0.6923076923076923,13,1.0
Квесты: посещение раздела,0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
Музеи: посещение раздела,2,0.0002931691586045148,2,0.00018201674554058973,0,0.0,1.0,00:00:15,2,1.0,2,1.0
Здания: посещение раздела,0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
Памятники: посещение раздела,7,0.0010260920551158018,8,0.0007280669821623589,3,0.375,1.0,00:04:19,4,0.5714285714285714,7,1.0
Места: посещение раздела,0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
Личности: посещение раздела,0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
