Действие,"Количество посетителей (все, с учетом отказников)",Конверсия посетителей из лэндинга,"Количество визитов (все, с учетом отказников)",Конверсия визитов из лэндинга,Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Лэндинг,5070,,6896,,729,0.10571345707656613,4.317658504945679,00:07:43,986,0.19447731755424064,1159,0.22859960552268244
Главная: просмотр,2749,0.5422090729783038,3471,0.5033352668213457,54,0.015557476231633534,5.627450980392157,00:10:01,480,0.17460894870862131,481,0.17497271735176428
"Главная: клик на ""Личный кабинет""",2025,0.3994082840236686,2448,0.35498839907192575,69,0.028186274509803922,5.234552332912989,00:08:53,337,0.16641975308641976,348,0.17185185185185184
"Главная: клик на книгу из ""Вам может понравится""",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
"Главная: клик на событие из ""События в библиотеках""",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
"Главная: клик на подборку из ""Литература для внеклассного чтения""",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
"Главная: клик на подборку из ""Подборки на любой вкус""",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
Страница книги: просмотр,2207,0.43530571992110456,2883,0.41806844547563804,50,0.01734304543877905,5.586304271090716,00:11:47,406,0.18396012686905303,413,0.18713185319438153
"Страница книги: клик на ""Выбрать библиотеку""",540,0.10650887573964497,619,0.08976218097447795,0,0.0,7.075928917609047,00:17:42,80,0.14814814814814814,80,0.14814814814814814
"Страница книги: клик на ""Забронировать"" в выборе библиотеки",422,0.08323471400394478,468,0.06786542923433875,1,0.002136752136752137,9.533190578158457,00:22:29,67,0.15876777251184834,67,0.15876777251184834
"Страница оформления заказа: клик на ""Забронировать""",505,0.09960552268244575,560,0.08120649651972157,0,0.0,8.85892857142857,00:20:39,64,0.12673267326732673,64,0.12673267326732673
Страница оформления заказа: просмотр информации об успешном бронировании,457,0.09013806706114398,496,0.07192575406032482,0,0.0,9.044354838709678,00:21:29,58,0.12691466083150985,58,0.12691466083150985
Страница конкретной подборки: просмотр,396,0.07810650887573964,410,0.05945475638051044,0,0.0,6.941463414634146,00:10:26,76,0.1919191919191919,76,0.1919191919191919
Страница каталога подборок: просмотр,201,0.03964497041420118,204,0.029582366589327145,0,0.0,8.617647058823529,00:12:00,39,0.19402985074626866,39,0.19402985074626866
Страница подборок по внеклассному чтению: просмотр,4610,0.9092702169625246,5787,0.8391821345707656,528,0.09123898392949716,4.282563224947709,00:07:54,902,0.19566160520607376,1053,0.22841648590021693
Страница оформления ЕЧП: просмотр,610,0.1203155818540434,670,0.09715777262180975,40,0.05970149253731343,8.604761904761904,00:11:11,112,0.18360655737704917,126,0.20655737704918034
Оформление ЕЧБ. Шаг 1: клик на кнопку Продолжить,105,0.020710059171597635,107,0.015516241299303945,0,0.0,14.560747663551401,00:20:26,12,0.11428571428571428,12,0.11428571428571428
Оформление ЕЧБ. Шаг 2: клик на кнопку Продолжить,187,0.0368836291913215,189,0.027407192575406032,0,0.0,14.026455026455027,00:19:42,43,0.22994652406417113,43,0.22994652406417113
Оформление ЕЧБ. Шаг 3: клик на кнопку Продолжить,128,0.0252465483234714,129,0.018706496519721578,0,0.0,17.2015503875969,00:25:21,29,0.2265625,29,0.2265625
Оформление ЕЧБ. Шаг 3: клик на пнопку Отправить,126,0.02485207100591716,127,0.018416473317865428,0,0.0,17.322834645669293,00:25:36,27,0.21428571428571427,27,0.21428571428571427
Профиль пользователя: просмотр,28,0.005522682445759369,28,0.004060324825986079,0,0.0,22.142857142857142,00:27:56,7,0.25,7,0.25
Страница каталога книг: просмотр,2636,0.5199211045364891,3423,0.49637470997679817,65,0.018989190768331873,5.109589041095891,00:10:34,507,0.19233687405159333,509,0.19309559939301973
