Действие,"Количество посетителей (все, с учетом отказников)",Конверсия посетителей из лэндинга,"Количество визитов (все, с учетом отказников)",Конверсия визитов из лэндинга,Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Лэндинг,9300,,13477,,9801,0.7272389997773985,1.088683351468988,00:01:18,2522,0.27118279569892473,8342,0.8969892473118279
Основной блок: Просмотр страницы входа,10,0.001075268817204301,10,0.0007420048972323217,2,0.2,3.5,00:05:49,6,0.6,8,0.8
Основной блок: Успешный вход,0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
Основной блок: Просмотр страницы площадки,5581,0.6001075268817204,8833,0.6554129257253097,6658,0.7537642929921884,1.1485057471264368,00:01:37,1564,0.28023651675327005,4907,0.8792331123454578
Основной блок: Клик на площадку,11,0.0011827956989247312,11,0.0008162053869555539,0,0.0,14.909090909090908,00:19:19,6,0.5454545454545454,6,0.5454545454545454
"Основной блок: Клик на кнопку ""Как добраться""",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
"Блок мероприятий: Клик на ""Показать ещё"" в блоке",0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
Блок мероприятий: Клик на мероприятие,33,0.0035483870967741938,34,0.002522816650589894,0,0.0,3.7941176470588234,00:06:35,17,0.5151515151515151,17,0.5151515151515151
Блок мероприятий: Просмотр страницы мероприятия,50,0.005376344086021506,52,0.003858425465608073,0,0.0,5.0,00:06:39,26,0.52,26,0.52
Блок отправки email: Клик на кнопку для подписки на рассылку,0,0.0,0,0.0,0,,0.0,00:00:00,0,,0,
